match_id,innings,batting_team,wicket_number,batter1,batter2,runs,balls,date,venue
980987,1,Royal Challengers Bangalore,2,AB de Villiers,V Kohli,229,97,2016-05-14,M Chinnaswamy Stadium
1529278,1,Delhi Capitals,2,N Rana,KL Rahul,220,96,2026-04-25,"Arun Jaitley Stadium, Delhi"
829795,1,Royal Challengers Bangalore,2,AB de Villiers,V Kohli,215,102,2015-05-10,Wankhede Stadium
1304112,1,Lucknow Super Giants,1,Q de Kock,KL Rahul,210,121,2022-05-18,"Dr DY Patil Sports Academy, Mumbai"
1426297,1,Gujarat Titans,1,B Sai Sudharsan,Shubman Gill,210,104,2024-05-10,"Narendra Modi Stadium, Ahmedabad"
501260,1,Kings XI Punjab,2,AC Gilchrist,SE Marsh,206,98,2011-05-17,Himachal Pradesh Cricket Association Stadium
1473498,2,Gujarat Titans,1,B Sai Sudharsan,Shubman Gill,205,114,2025-05-18,"Arun Jaitley Stadium, Delhi"
548372,1,Royal Challengers Bangalore,2,CH Gayle,V Kohli,204,108,2012-05-17,Feroz Shah Kotla
548329,2,Delhi Daredevils,2,DA Warner,NV Ojha,189,100,2012-05-10,"Rajiv Gandhi International Stadium, Uppal"
1175366,1,Sunrisers Hyderabad,1,JM Bairstow,DA Warner,185,98,2019-03-31,Rajiv Gandhi International Stadium
1082593,2,Kolkata Knight Riders,1,G Gambhir,CA Lynn,184,89,2017-04-07,Saurashtra Cricket Association Stadium
1216527,1,Kings XI Punjab,1,KL Rahul,MA Agarwal,183,100,2020-09-27,Sharjah Cricket Stadium
1304092,1,Chennai Super Kings,1,RD Gaikwad,DP Conway,182,107,2022-05-01,"Maharashtra Cricket Association Stadium, Pune"
1529272,1,Punjab Kings,2,C Connolly,Priyansh Arya,182,80,2026-04-19,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh"
1216513,2,Chennai Super Kings,1,SR Watson,F du Plessis,181,106,2020-10-04,Dubai International Cricket Stadium
