season_year,season_label,champion,orange_cap_player_id,orange_cap_name,orange_cap_runs,purple_cap_player_id,purple_cap_name,purple_cap_wickets,final_match_id,final_potm_player_id,final_potm_name
2026,2026,Royal Challengers Bengaluru,470f446b,V Suryavanshi,776,e62dd25d,K Rabada,29,1535465,ba607b88,V Kohli
2025,2025,Royal Challengers Bengaluru,d5130a30,B Sai Sudharsan,759,85e0cf10,M Prasidh Krishna,25,1473511,5b8c830e,KH Pandya
2024,2024,Kolkata Knight Riders,ba607b88,V Kohli,741,f986ca1a,HV Patel,24,1426312,3fb19989,MA Starc
2023,2023,Chennai Super Kings,b4b99816,Shubman Gill,890,8cf9814c,Mohammed Shami,28,1370353,df5a6881,DP Conway
2022,2022,Gujarat Titans,99b75528,JC Buttler,863,57ee1fde,YS Chahal,27,1312200,dbe50b21,HH Pandya
2021,2021,Chennai Super Kings,45a43fe2,RD Gaikwad,635,f986ca1a,HV Patel,32,1254117,3355b542,F du Plessis
2020,2020/21,Mumbai Indians,b17e2f24,KL Rahul,670,e62dd25d,K Rabada,30,1237181,a818c1be,TA Boult
2019,2019,Mumbai Indians,dcce6f09,DA Warner,692,acee4cc4,Imran Tahir,26,1181768,462411b3,JJ Bumrah
2018,2018,Chennai Super Kings,d027ba9f,KS Williamson,735,7c7d63a2,AJ Tye,24,1136620,4329fbb5,SR Watson
2017,2017,Mumbai Indians,dcce6f09,DA Warner,641,2e81a32d,B Kumar,26,1082650,5b8c830e,KH Pandya
2016,2016,Sunrisers Hyderabad,ba607b88,V Kohli,973,2e81a32d,B Kumar,23,981019,2e11c706,BCJ Cutting
2015,2015,Mumbai Indians,dcce6f09,DA Warner,562,87e562a9,DJ Bravo,26,829823,740742ef,RG Sharma
2014,2014,Kolkata Knight Riders,1c17e270,RV Uthappa,660,759ac88f,MM Sharma,23,734049,93b4fc78,MK Pandey
2013,2013,Mumbai Indians,48fd7349,MEK Hussey,733,87e562a9,DJ Bravo,32,598073,a757b0d8,KA Pollard
2012,2012,Kolkata Knight Riders,db584dad,CH Gayle,733,5bb5a915,M Morkel,25,548381,5afd4539,MS Bisla
2011,2011,Chennai Super Kings,db584dad,CH Gayle,608,a12e1d51,SL Malinga,28,501271,4b57e452,M Vijay
2010,2009/10,Chennai Super Kings,d2c2b2d5,SR Tendulkar,618,6c6591ab,PP Ojha,21,419165,1dc12ab9,SK Raina
2009,2009,Deccan Chargers,d8699ab7,ML Hayden,572,c3d1402f,RP Singh,23,392239,0c2730df,A Kumble
2008,2007/08,Rajasthan Royals,508a1ea7,SE Marsh,616,64d43928,Sohail Tanvir,22,336040,3c6ffae8,YK Pathan
