team,matches_played,wins,losses,no_results,win_pct,toss_won,toss_won_and_match_won_pct,matches_batted_first,win_pct_batting_first,matches_chased,win_pct_chasing
Mumbai Indians,291,155,132,4,54.01,160,53.75,150,52.03,141,56.12
Chennai Super Kings,266,148,116,2,56.06,133,59.4,144,51.39,122,61.67
Royal Challengers Bengaluru,286,143,137,6,51.07,136,54.41,145,46.81,141,55.4
Kolkata Knight Riders,278,140,131,7,51.66,135,54.07,133,43.41,145,59.15
Punjab Kings,278,126,145,7,46.49,129,44.96,144,39.72,134,53.85
Delhi Capitals,281,125,147,9,45.96,148,47.97,124,41.03,157,49.68
Rajasthan Royals,251,123,122,6,50.2,137,48.91,117,43.86,134,55.73
Sunrisers Hyderabad,211,102,104,5,49.51,100,43.0,112,47.32,99,52.13
Gujarat Titans,77,47,30,0,61.04,36,63.89,34,55.88,43,65.12
Lucknow Super Giants,72,34,36,2,48.57,30,53.33,41,52.5,31,43.33
Deccan Chargers,75,29,46,0,38.67,43,44.19,43,41.86,32,34.38
Rising Pune Supergiant,30,15,15,0,50.0,13,61.54,15,33.33,15,66.67
Gujarat Lions,30,13,16,1,44.83,15,66.67,14,7.69,16,75.0
Pune Warriors,46,12,33,1,26.67,20,15.0,20,30.0,26,24.0
Kochi Tuskers Kerala,14,6,8,0,42.86,8,50.0,7,28.57,7,57.14
