venue,photo_url,wikipedia_title
"Arun Jaitley Stadium, Delhi",https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Arun_Jaitley_Stadium_during_World_Cup_2023.jpg/330px-Arun_Jaitley_Stadium_during_World_Cup_2023.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Arun Jaitley Cricket Stadium
Barabati Stadium,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Barabati_Stadium_IPL_Match_Pune_Warriors_India_vs._Deccan_Chargers.jpg/330px-Barabati_Stadium_IPL_Match_Pune_Warriors_India_vs._Deccan_Chargers.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Barabati Stadium
"Barsapara Cricket Stadium, Guwahati",,
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Ekana_cricket_stadium_.jpg/330px-Ekana_cricket_stadium_.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Ekana Cricket Stadium
"Brabourne Stadium, Mumbai",https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Cricket_Club_Of_India_Bombay.jpg/330px-Cricket_Club_Of_India_Bombay.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Brabourne Stadium
Buffalo Park,,Buffalo Park
De Beers Diamond Oval,,De Beers Diamond Oval
"Dr DY Patil Sports Academy, Mumbai",https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/D_Y_Patil_Sports_Stadium.jpg/330px-D_Y_Patil_Sports_Stadium.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,DY Patil Stadium
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,
Dubai International Cricket Stadium,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Dubai_Stadium_2019.jpg/330px-Dubai_Stadium_2019.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Dubai International Cricket Stadium
"Eden Gardens, Kolkata",https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/%E0%A6%87%E0%A6%A1%E0%A7%87%E0%A6%A8_%E0%A6%97%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A1%E0%A7%87%E0%A6%A8%E0%A7%87_%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6_%E0%A6%93_%E0%A6%AA%E0%A6%BE%E0%A6%95%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0_%E0%A6%96%E0%A7%87%E0%A6%B2%E0%A6%BE_%E0%A7%AB.jpg/330px-%E0%A6%87%E0%A6%A1%E0%A7%87%E0%A6%A8_%E0%A6%97%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A1%E0%A7%87%E0%A6%A8%E0%A7%87_%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6_%E0%A6%93_%E0%A6%AA%E0%A6%BE%E0%A6%95%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0_%E0%A6%96%E0%A7%87%E0%A6%B2%E0%A6%BE_%E0%A7%AB.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Eden Gardens
Green Park,,
