venue,city,matches_played,avg_first_innings_score,avg_powerplay_score,avg_death_overs_score,defending_win_pct,chasing_win_pct,most_successful_team
"Wankhede Stadium, Mumbai",Mumbai,132,173.1,48.2,47.4,45.04,54.96,Mumbai Indians
"Eden Gardens, Kolkata",Kolkata,107,168.6,49.6,45.2,42.86,57.14,Kolkata Knight Riders
"Arun Jaitley Stadium, Delhi",Delhi,104,171.8,51.0,45.7,46.53,53.47,Delhi Capitals
"M Chinnaswamy Stadium, Bengaluru",Bangalore,104,174.1,48.0,49.2,44.0,56.0,Royal Challengers Bengaluru
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,98,165.6,48.9,44.0,53.12,46.88,Chennai Super Kings
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,90,168.3,49.3,44.5,45.45,54.55,Sunrisers Hyderabad
"Sawai Mansingh Stadium, Jaipur",Jaipur,68,169.1,48.9,44.2,35.29,64.71,Rajasthan Royals
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,61,168.3,49.0,44.5,44.26,55.74,Punjab Kings
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,53,180.7,51.7,46.1,50.0,50.0,Gujarat Titans
"Maharashtra Cricket Association Stadium, Pune",Pune,51,162.4,44.4,45.0,54.9,45.1,Kolkata Knight Riders
Dubai International Cricket Stadium,Dubai,46,163.8,45.2,45.4,48.84,51.16,Chennai Super Kings
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,37,158.9,45.1,43.2,40.0,60.0,Mumbai Indians
"Dr DY Patil Sports Academy, Mumbai",Mumbai,37,159.6,44.3,43.2,45.95,54.05,Mumbai Indians
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,29,174.8,52.0,44.4,40.74,59.26,Lucknow Super Giants
Sharjah Cricket Stadium,Sharjah,28,159.0,45.5,43.0,35.71,64.29,Punjab Kings
"Brabourne Stadium, Mumbai",Mumbai,27,178.5,52.5,48.8,51.85,48.15,Mumbai Indians
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,19,191.2,49.3,53.6,61.11,38.89,Punjab Kings
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,17,186.6,59.9,47.4,47.06,52.94,Punjab Kings
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,17,169.5,45.0,44.0,47.06,52.94,Delhi Capitals
Kingsmead,Durban,15,152.0,45.9,41.7,53.33,46.67,Delhi Capitals
SuperSport Park,Centurion,12,154.8,45.2,40.7,33.33,66.67,Rajasthan Royals
Saurashtra Cricket Association Stadium,Rajkot,10,168.9,55.3,45.8,33.33,66.67,Gujarat Lions
Holkar Cricket Stadium,Indore,9,160.3,51.7,44.9,11.11,88.89,Punjab Kings
"Barsapara Cricket Stadium, Guwahati",Guwahati,8,168.9,58.8,44.8,50.0,50.0,Rajasthan Royals
New Wanderers Stadium,Johannesburg,8,144.0,41.9,41.9,37.5,62.5,Royal Challengers Bengaluru
"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,8,154.5,42.6,44.8,25.0,75.0,Delhi Capitals
St George's Park,Port Elizabeth,7,159.0,44.8,39.9,42.86,57.14,Chennai Super Kings
JSCA International Stadium Complex,Ranchi,7,149.0,38.8,41.2,28.57,71.43,Chennai Super Kings
Barabati Stadium,Cuttack,7,167.7,43.6,49.5,57.14,42.86,Deccan Chargers
Newlands,Cape Town,7,139.4,40.1,40.3,66.67,33.33,Deccan Chargers
Nehru Stadium,Kochi,5,146.8,39.8,36.7,60.0,40.0,Kochi Tuskers Kerala
Green Park,Kanpur,4,161.2,55.0,40.6,0.0,100.0,Gujarat Lions
Buffalo Park,East London,3,147.3,39.5,47.0,66.67,33.33,Mumbai Indians
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,3,149.3,44.2,35.2,66.67,33.33,Deccan Chargers
De Beers Diamond Oval,Kimberley,3,158.0,40.0,46.5,33.33,66.67,Punjab Kings
OUTsurance Oval,Bloemfontein,2,135.0,33.5,39.5,50.0,50.0,Punjab Kings
